AdultBodyMass,DietBreadth,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,TrophicLevel,ActivityCycle,ForagingStratum,MigratoryStatus,IncubationTime,ClutchSize,EggLength,EggWidth,EggMass,NestingHabit,MaxLongevity,Montane
35.4,4.0,yes,yes,no,no,yes,yes,no,2.0,2.0,1.0,yes,18.0,7.4,nan,nan,6.3,terrestrial,nan,1
182.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,nan,4.5,nan,nan,21.5,terrestrial,nan,1
139.5,5.0,yes,yes,no,yes,yes,yes,no,2.0,2.0,1.0,yes,nan,4.4,nan,nan,13.5,aquatic,nan,1
255.0,2.0,yes,yes,no,no,no,no,no,3.0,2.0,3.0,no,20.0,4.5,45.0,38.0,nan,arboreal,nan,1
148.0,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,yes,nan,1.0,nan,nan,nan,arboreal,nan,1
110.0,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,no,nan,1.92,nan,nan,nan,arboreal,nan,0
137.0,3.0,yes,no,yes,no,yes,no,no,2.0,3.0,1.0,no,24.0,1.5,36.9,27.6,nan,arboreal,nan,0
17.0,2.0,yes,yes,no,no,no,no,no,3.0,2.0,1.0,no,nan,2.5,nan,nan,nan,arboreal,nan,1
17.5,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,0
18.1,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
18.9,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,no,nan,2.0,nan,nan,nan,terrestrial,nan,1
27.4,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
21.4,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,nan,nan,nan,nan,<NA>,nan,0
19.9,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,3.0,nan,nan,nan,terrestrial,nan,1
8.6,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
9.7,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
23.3,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
11.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
14.3,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,3.0,nan,nan,nan,arboreal,nan,0
14.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,nan,nan,nan,nan,<NA>,nan,0
18.2,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,3.0,nan,nan,nan,arboreal,nan,1
19.25,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,17.5,2.4,nan,nan,nan,arboreal,nan,1
47.2,2.0,yes,no,yes,no,no,no,no,2.0,3.0,3.0,no,nan,1.0,nan,nan,nan,arboreal,nan,1
10.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,4.0,nan,nan,nan,terrestrial,nan,1
nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,nan,nan,nan,no,nan,nan,nan,nan,nan,<NA>,nan,0
8.3,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,4.0,nan,nan,nan,arboreal,nan,1
6.9,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,3.0,nan,nan,nan,arboreal,nan,1
7.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
524.0,5.0,yes,yes,yes,no,yes,no,yes,2.0,3.0,1.0,no,18.5,4.0,nan,nan,21.8,arboreal,nan,1
47.1,3.0,yes,yes,yes,no,no,no,no,2.0,3.0,3.0,no,nan,3.0,25.2,18.0,nan,arboreal,nan,1
8.2,1.0,no,no,no,no,yes,no,no,1.0,3.0,1.0,no,nan,5.5,nan,nan,nan,arboreal,nan,1
17.5,1.0,yes,no,no,no,no,no,no,3.0,3.0,4.0,yes,14.0,4.0,nan,nan,nan,<NA>,96.0,0
23.9,1.0,yes,no,no,no,no,no,no,3.0,3.0,4.0,no,nan,2.0,nan,nan,2.5,aquatic,nan,1
13.5,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,3.5,nan,nan,1.36,terrestrial,nan,1
15.25,1.0,yes,no,no,no,no,no,no,3.0,nan,nan,yes,nan,nan,nan,nan,nan,<NA>,nan,0
20.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,nan,nan,nan,nan,terrestrial,nan,1
14.2,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
13.4,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,16.0,2.5,18.2,13.8,1.8,arboreal,nan,1
22.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,nan,3.5,nan,nan,nan,arboreal,nan,1
24.4,3.0,yes,yes,yes,no,no,no,no,2.0,3.0,3.0,no,13.0,3.0,nan,nan,nan,arboreal,nan,1
nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,nan,nan,nan,no,nan,nan,nan,nan,nan,<NA>,nan,1
31.25,3.0,yes,no,yes,no,no,yes,no,2.0,3.0,3.0,no,15.0,1.5,nan,nan,nan,arboreal,nan,0
28.3,2.0,yes,no,yes,no,no,no,no,2.0,3.0,3.0,no,nan,3.0,nan,nan,nan,arboreal,nan,0
24.8,2.0,yes,no,yes,no,no,no,no,2.0,3.0,3.0,no,nan,1.5,nan,nan,nan,arboreal,nan,1
15.2,4.0,yes,yes,yes,no,yes,no,no,2.0,3.0,3.0,yes,14.5,5.0,nan,nan,1.99,terrestrial,105.6,1
14.3,3.0,yes,no,no,yes,yes,no,no,2.0,3.0,3.0,no,nan,1.0,nan,nan,nan,arboreal,nan,1
7.0,2.0,yes,no,no,yes,no,no,no,2.0,3.0,3.0,no,14.0,2.0,nan,nan,0.96,arboreal,nan,1
6.5,3.0,yes,no,yes,yes,no,no,no,2.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
7.1,2.0,yes,no,no,yes,no,no,no,2.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
35.8,4.0,yes,no,yes,yes,no,yes,no,2.0,3.0,3.0,no,nan,3.0,nan,nan,nan,arboreal,nan,1
27.9,3.0,yes,no,yes,yes,no,no,no,2.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,0
16.0,3.0,yes,no,no,yes,yes,no,no,2.0,3.0,3.0,no,12.5,3.0,18.0,12.8,nan,arboreal,nan,1
18.9,3.0,yes,no,no,yes,yes,no,no,2.0,3.0,3.0,no,13.0,2.5,nan,nan,2.26,arboreal,nan,1
23.8,3.0,yes,no,no,no,yes,yes,no,2.0,3.0,3.0,no,nan,3.0,20.5,15.1,nan,arboreal,nan,0
23.8,2.0,yes,no,yes,no,no,no,no,2.0,3.0,3.0,no,nan,3.0,21.0,15.5,2.53,arboreal,nan,1
48.9,5.0,yes,no,yes,yes,yes,yes,no,2.0,3.0,3.0,no,nan,3.0,nan,nan,4.75,arboreal,nan,1
40.5,3.0,yes,no,yes,yes,no,no,no,2.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
48.8,4.0,yes,yes,yes,no,yes,no,no,2.0,3.0,3.0,no,19.0,3.0,nan,nan,nan,arboreal,nan,1
16.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,16.0,2.0,nan,nan,nan,arboreal,nan,1
16.8,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,0
97.6,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.5,nan,nan,nan,arboreal,nan,0
111.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,17.0,3.5,nan,nan,nan,arboreal,nan,0
14.1,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
24.5,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,2.5,nan,nan,nan,arboreal,nan,1
12.3,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
7.8,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,0
10.1,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
12.7,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
52.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,17.0,3.0,nan,nan,nan,arboreal,nan,1
12.7,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
70.4,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,16.5,4.0,nan,nan,nan,arboreal,nan,1
46.8,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,16.0,2.0,nan,nan,nan,arboreal,nan,1
66.7,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,23.0,3.0,nan,nan,nan,arboreal,nan,1
65.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,3.5,nan,nan,nan,arboreal,nan,0
64.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
59.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,0
22.3,2.0,yes,no,yes,no,no,no,no,2.0,3.0,3.0,no,16.0,2.0,nan,nan,nan,arboreal,nan,1
19.6,3.0,yes,yes,yes,no,no,no,no,2.0,3.0,3.0,no,nan,3.5,nan,nan,nan,arboreal,nan,1
11.2,5.0,yes,no,yes,yes,yes,yes,no,2.0,3.0,1.0,no,nan,2.0,15.85,12.35,nan,arboreal,nan,1
1200.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,24.25,3.5,56.0,40.0,61.0,arboreal,273.6,1
1443.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,25.5,4.11,61.0,44.0,61.0,arboreal,450.0,1
1649.86,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,nan,3.0,nan,nan,nan,arboreal,nan,0
1065.5,2.0,yes,yes,no,no,no,no,no,3.0,2.0,1.0,yes,27.5,5.0,52.65,39.5,51.0,terrestrial,304.8,1
266.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,20.0,3.0,41.0,32.5,21.5,arboreal,nan,1
287.0,2.0,yes,yes,no,no,no,no,no,3.0,2.0,1.0,yes,16.5,3.0,37.3,27.5,15.6,arboreal,70.0,1
366.0,3.0,yes,yes,no,no,no,no,yes,2.0,3.0,1.0,yes,22.75,3.75,46.25,33.15,34.8,arboreal,276.0,1
226.0,2.0,yes,yes,no,no,no,no,no,3.0,2.0,1.0,yes,24.0,3.0,37.7,29.0,15.5,arboreal,95.0,1
324.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,nan,3.0,46.9,32.2,28.0,terrestrial,nan,1
346.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,27.0,2.5,45.35,32.85,29.13,terrestrial,268.08,1
118.0,2.0,yes,yes,no,no,no,no,no,3.0,2.0,1.0,yes,18.5,5.5,34.0,25.5,11.5,terrestrial,82.8,1
810.0,2.0,yes,yes,no,no,no,no,no,3.0,2.0,1.0,yes,23.75,4.25,50.9,35.8,34.0,arboreal,253.2,1
5445.0,1.0,no,yes,no,no,no,no,no,3.0,3.0,1.0,no,30.0,2.0,82.1,54.6,116.0,arboreal,nan,0
535.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,30.0,4.5,nan,nan,28.5,terrestrial,nan,1
1521.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,27.0,3.0,nan,nan,69.0,terrestrial,214.8,0
595.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,21.25,3.5,nan,nan,38.0,arboreal,321.6,1
1493.18,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,28.5,2.0,nan,nan,62.0,arboreal,444.0,0
583.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,nan,2.5,62.0,42.0,nan,arboreal,nan,1
335.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,41.0,1.0,nan,nan,45.0,terrestrial,nan,0
659.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,44.5,1.0,67.3,48.1,87.0,terrestrial,392.4,0
197.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,nan,3.5,nan,nan,nan,aquatic,nan,1
183.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,46.0,6.0,nan,nan,13.7,aquatic,210.0,1
8130.0,2.0,yes,yes,no,no,no,no,no,3.0,nan,1.0,yes,78.5,1.0,130.8,81.0,463.85,<NA>,600.0,0
2550.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,71.0,1.0,96.4,60.4,199.8,terrestrial,444.0,0
52.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,4.0,yes,39.5,1.0,36.5,27.25,14.75,<NA>,nan,0
30.45,3.0,yes,yes,no,no,no,no,yes,2.0,3.0,1.0,yes,43.0,1.0,33.3,23.4,9.9,terrestrial,nan,0
388.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,55.5,1.0,61.4,41.1,60.0,terrestrial,nan,0
535.0,3.0,yes,yes,no,no,no,no,yes,2.0,2.0,1.0,yes,54.0,1.0,71.6,52.3,74.0,terrestrial,298.0,0
4400.0,2.0,yes,yes,no,no,no,no,no,3.0,nan,1.0,yes,59.0,1.0,105.9,65.7,241.5,<NA>,564.0,0
1286.0,2.0,yes,yes,no,no,no,no,no,3.0,nan,1.0,yes,60.0,1.0,82.9,53.7,124.0,<NA>,360.0,0
30.0,2.0,no,no,yes,no,yes,no,no,1.0,3.0,1.0,no,21.5,4.0,18.2,15.1,2.65,arboreal,nan,1
525.0,2.0,no,no,yes,no,yes,no,no,1.0,3.0,3.0,no,47.0,3.0,nan,nan,nan,arboreal,646.8,1
246.0,4.0,no,no,yes,yes,yes,yes,no,1.0,3.0,3.0,no,18.0,3.5,38.6,30.5,nan,arboreal,409.2,1
244.0,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,no,nan,3.0,45.05,32.6,14.0,terrestrial,nan,0
334.0,2.0,yes,yes,no,no,no,no,no,3.0,1.0,1.0,no,28.0,2.5,nan,nan,26.2,terrestrial,nan,0
407.0,2.0,yes,yes,no,no,no,no,no,3.0,1.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
231.0,2.0,yes,yes,no,no,no,no,no,3.0,1.0,3.0,no,nan,4.0,36.0,29.05,nan,arboreal,nan,1
101.0,2.0,yes,yes,no,no,no,no,no,3.0,1.0,3.0,no,nan,3.5,nan,nan,nan,arboreal,nan,1
424.65,2.0,yes,yes,no,no,no,no,no,3.0,1.0,3.0,no,32.25,7.5,39.7,31.6,20.7,arboreal,408.0,1
284.0,2.0,yes,yes,no,no,no,no,no,3.0,1.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
1396.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,28.0,4.0,nan,nan,36.0,arboreal,192.0,1
806.0,3.0,yes,yes,no,no,no,no,yes,2.0,3.0,1.0,no,45.0,1.0,64.0,44.0,66.0,arboreal,331.2,0
1362.0,3.0,yes,yes,no,no,no,no,yes,2.0,3.0,1.0,no,55.5,1.0,70.0,48.25,74.0,arboreal,516.0,0
545.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,24.0,4.0,nan,nan,23.0,arboreal,nan,1
1219.0,2.0,yes,yes,no,no,no,no,no,3.0,nan,1.0,yes,42.0,2.0,61.0,40.0,53.0,terrestrial,326.4,0
951.5,2.0,yes,yes,no,no,no,no,no,3.0,2.0,1.0,yes,44.5,1.0,60.0,39.75,53.0,arboreal,276.0,0
